96: Patient948084900_study_0, CG Dice=0.3494, PZ Dice=0.1837, prostate Dice=0.7663, CG Dist=11.1915, PZ Dist=5.3151, prostate Dist=3.5000
97: Patient946250678_study_0, CG Dice=0.2347, PZ Dice=0.2562, prostate Dice=0.6446, CG Dist=15.8114, PZ Dist=6.1644, prostate Dist=8.8600
98: Patient984057610_study_0, CG Dice=0.8826, PZ Dice=0.1335, prostate Dice=0.8762, CG Dist=1.1180, PZ Dist=7.6322, prostate Dist=1.4142
99: Patient864283391_study_0, CG Dice=0.4737, PZ Dice=0.0414, prostate Dice=0.7456, CG Dist=4.6098, PZ Dist=7.2973, prostate Dist=2.3452
100: Patient890871995_study_0, CG Dice=0.5212, PZ Dice=0.0893, prostate Dice=0.8182, CG Dist=7.0000, PZ Dist=6.5000, prostate Dist=2.2361
101: Patient812964223_study_0, CG Dice=0.6665, PZ Dice=0.1469, prostate Dice=0.8823, CG Dist=3.9051, PZ Dist=7.0356, prostate Dist=1.0000
102: Patient991142573_study_0, CG Dice=0.3379, PZ Dice=0.1512, prostate Dice=0.6640, CG Dist=15.3704, PZ Dist=5.4083, prostate Dist=6.5000
103: Patient869970961_study_0, CG Dice=0.2710, PZ Dice=0.3197, prostate Dice=0.6954, CG Dist=15.0416, PZ Dist=4.2720, prostate Dist=6.5000
104: Patient871446219_study_0, CG Dice=0.7607, PZ Dice=0.0102, prostate Dice=0.8430, CG Dist=3.0414, PZ Dist=13.1909, prostate Dist=1.7321
105: Patient860955368_study_0, CG Dice=0.6121, PZ Dice=0.0085, prostate Dice=0.7941, CG Dist=4.2720, PZ Dist=13.1244, prostate Dist=2.0616
106: Patient897544385_study_0, CG Dice=0.6771, PZ Dice=0.1516, prostate Dice=0.8331, CG Dist=3.7749, PZ Dist=7.6485, prostate Dist=1.8028
107: Patient908835948_study_0, CG Dice=0.6033, PZ Dice=0.0812, prostate Dice=0.7606, CG Dist=4.6904, PZ Dist=7.5166, prostate Dist=2.4495
108: Patient820466562_study_0, CG Dice=0.2282, PZ Dice=0.5284, prostate Dice=0.5192, CG Dist=21.1955, PZ Dist=4.0620, prostate Dist=14.5000
109: Patient807931277_study_0, CG Dice=0.3215, PZ Dice=0.2455, prostate Dice=0.7858, CG Dist=12.9817, PZ Dist=6.4031, prostate Dist=2.7386
110: Patient850881477_study_0, CG Dice=0.5099, PZ Dice=0.1044, prostate Dice=0.8582, CG Dist=6.8191, PZ Dist=7.3485, prostate Dist=1.5000
111: Patient907602254_study_0, CG Dice=0.7217, PZ Dice=0.0619, prostate Dice=0.8132, CG Dist=3.2016, PZ Dist=7.7621, prostate Dist=2.2913
112: Patient927034577_study_0, CG Dice=0.6241, PZ Dice=0.1417, prostate Dice=0.8183, CG Dist=4.7170, PZ Dist=7.0000, prostate Dist=2.0000
113: Patient855235476_study_0, CG Dice=0.0365, PZ Dice=0.4231, prostate Dice=0.8041, CG Dist=9.8995, PZ Dist=5.1235, prostate Dist=2.0616
114: Patient995663925_study_0, CG Dice=0.4425, PZ Dice=0.2433, prostate Dice=0.7107, CG Dist=14.2829, PZ Dist=5.1235, prostate Dist=9.1241
115: Patient923194593_study_0, CG Dice=0.1132, PZ Dice=0.3695, prostate Dice=0.5344, CG Dist=19.9060, PZ Dist=4.7170, prostate Dist=17.0000
116: Patient913575499_study_0, CG Dice=0.3978, PZ Dice=0.0194, prostate Dice=0.7508, CG Dist=10.0000, PZ Dist=11.7898, prostate Dist=4.0000
117: Patient976331109_study_0, CG Dice=0.3445, PZ Dice=0.0462, prostate Dice=0.7020, CG Dist=9.8107, PZ Dist=7.8899, prostate Dist=3.2016
118: Patient965633848_study_0, CG Dice=0.5515, PZ Dice=0.0938, prostate Dice=0.8256, CG Dist=5.5902, PZ Dist=9.4340, prostate Dist=2.0000
119: Patient885725027_study_0, CG Dice=0.6341, PZ Dice=0.1483, prostate Dice=0.8272, CG Dist=4.2720, PZ Dist=8.0156, prostate Dist=1.8708
120: Patient872282004_study_0, CG Dice=0.1882, PZ Dice=0.1859, prostate Dice=0.4601, CG Dist=21.0000, PZ Dist=7.8740, prostate Dist=12.4599
121: Patient845768704_study_0, CG Dice=0.5172, PZ Dice=0.0965, prostate Dice=0.8189, CG Dist=7.8740, PZ Dist=10.0623, prostate Dist=2.8723
122: Patient853303953_study_0, CG Dice=0.3068, PZ Dice=0.0487, prostate Dice=0.6825, CG Dist=9.0000, PZ Dist=5.6789, prostate Dist=3.0822
123: Patient982554659_study_0, CG Dice=0.2327, PZ Dice=0.2004, prostate Dice=0.7965, CG Dist=15.0665, PZ Dist=5.8737, prostate Dist=2.0616
124: Patient884816159_study_0, CG Dice=0.5984, PZ Dice=0.0739, prostate Dice=0.6861, CG Dist=3.2016, PZ Dist=7.3485, prostate Dist=3.6401
125: Patient930889108_study_0, CG Dice=0.4706, PZ Dice=0.0653, prostate Dice=0.8035, CG Dist=8.0777, PZ Dist=9.1104, prostate Dist=2.5000
126: Patient815940060_study_0, CG Dice=0.3451, PZ Dice=0.2219, prostate Dice=0.6602, CG Dist=9.5131, PZ Dist=4.4159, prostate Dist=4.6368
127: Patient893391546_study_0, CG Dice=0.3704, PZ Dice=0.0845, prostate Dice=0.7998, CG Dist=11.0000, PZ Dist=7.1764, prostate Dist=2.5000
128: Patient828086439_study_0, CG Dice=0.6695, PZ Dice=0.0974, prostate Dice=0.8670, CG Dist=5.4314, PZ Dist=6.5765, prostate Dist=1.4142
129: Patient829954743_study_0, CG Dice=0.4442, PZ Dice=0.1120, prostate Dice=0.7146, CG Dist=4.7170, PZ Dist=7.0887, prostate Dist=4.0311
130: Patient998123438_study_0, CG Dice=0.6771, PZ Dice=0.1248, prostate Dice=0.8780, CG Dist=4.6368, PZ Dist=5.7587, prostate Dist=1.1180
131: Patient972534934_study_0, CG Dice=0.7825, PZ Dice=0.1245, prostate Dice=0.9024, CG Dist=2.5000, PZ Dist=5.3151, prostate Dist=1.0000
132: Patient827240789_study_0, CG Dice=0.0376, PZ Dice=0.2033, prostate Dice=0.5634, CG Dist=18.0000, PZ Dist=5.3852, prostate Dist=9.3408
133: Patient925772295_study_0, CG Dice=0.0984, PZ Dice=0.2794, prostate Dice=0.8369, CG Dist=13.0000, PZ Dist=4.8990, prostate Dist=1.8028
SAM-Med3D atlas CG/PZ Dice: CG=0.4544+/-0.2084, PZ=0.1732+/-0.1215, WG=0.7626+/-0.1172
GPU Epilog Script v0.30
